Wall time,Step,Value
1573536814.9101195,3834,-1.0
1573536815.7027686,3836,-1.0
1573536831.9300075,3849,-1.0
1573536861.2170787,3865,1.0
1573536869.1132135,3870,-1.0
1573536878.93,3877,-1.0
1573536915.9801855,3902,-1.0
1573536920.7338545,3903,-1.0
1573536921.2823179,3904,-1.0
1573536930.3508518,3909,-1.0
1573536931.0295236,3911,-1.0
1573536942.4886713,3921,-1.0
1573536950.4708686,3929,-1.0
1573536955.2098022,3935,-1.0
1573536955.253612,3936,-1.0
1573536960.2427647,3940,-1.0
1573536974.0897672,3951,-1.0
1573536979.760138,3957,-1.0
1573536997.411886,3963,-1.0
1573537001.6644447,3966,1.0
1573537022.2620447,3981,-1.0
1573537030.8403523,3985,-1.0
1573537039.478163,3992,-1.0
1573537044.0198572,3996,-1.0
1573537052.6746821,4001,-1.0
1573537060.7115436,4006,-1.0
1573537065.293644,4010,-1.0
1573537065.748789,4011,-1.0
1573537084.0381684,4022,-1.0
1573537087.2747686,4023,-1.0
1573537099.1883404,4034,-1.0
1573537099.5898712,4036,-1.0
1573537099.7386577,4037,-1.0
1573537108.3198707,4044,-1.0
1573537112.7717211,4046,-1.0
1573537113.4597151,4047,-1.0
1573537113.5104618,4048,-1.0
1573537116.9458878,4049,-1.0
1573537125.1732953,4055,-1.0
1573537161.5574205,4077,-1.0
1573537168.9240446,4080,-1.0
1573537196.8489485,4094,-1.0
1573537205.311312,4099,-1.0
1573537205.6072927,4100,-1.0
1573537206.1155412,4102,-1.0
1573537218.4323106,4110,1.0
1573537235.0478,4122,0.0
1573537300.7514946,4168,-1.0
1573537309.8219178,4173,-1.0
1573537322.7544599,4182,-1.0
1573537325.7317867,4183,-1.0
1573537343.4269707,4194,-1.0
1573537344.0828826,4195,1.0
1573537348.1546292,4197,-1.0
1573537351.9626873,4199,1.0
1573537357.0431283,4202,-1.0
1573537357.3291945,4203,-1.0
1573537361.761281,4205,-1.0
1573537403.8929603,4228,-1.0
1573537409.0380192,4233,-1.0
1573537413.0696423,4236,-1.0
1573537418.0382352,4239,-1.0
1573537427.6379864,4244,-1.0
1573537447.7905855,4255,-1.0
1573537459.9133918,4264,-1.0
1573537468.433324,4267,-1.0
1573537469.1363294,4268,-1.0
1573537485.129427,4277,-1.0
1573537497.4674652,4283,0.0
1573537524.4819205,4299,-1.0
1573537538.4706352,4305,1.0
1573537547.9838119,4309,-1.0
1573537551.9481668,4312,-1.0
1573537564.3179026,4318,-1.0
1573537569.8299356,4320,-1.0
1573537587.9022,4329,-1.0
1573537593.5832071,4333,1.0
1573537607.8504622,4339,-1.0
1573537619.7529943,4344,-1.0
1573537626.5703442,4350,1.0
1573537649.3015728,4359,-1.0
1573537662.2047093,4366,-1.0
1573537670.3414195,4370,-1.0
1573537687.4801338,4379,-1.0
1573537722.2962523,4394,1.0
1573537738.372415,4401,1.0
1573537747.752813,4404,-1.0
1573537748.4598722,4406,-1.0
1573537748.6775556,4407,-1.0
1573537757.4777577,4411,0.0
1573537757.7097592,4412,1.0
1573537758.0716164,4413,1.0
1573537776.0095136,4425,-1.0
1573537788.8029368,4431,-1.0
1573537789.2339973,4432,-1.0
1573537793.1730719,4434,-1.0
1573537801.583938,4440,-1.0
1573537802.5063171,4443,1.0
1573537812.2908561,4449,-1.0
1573537820.3117213,4453,-1.0
1573537834.977609,4460,-1.0
1573537859.3734217,4470,-1.0
1573537867.8247378,4476,-1.0
1573537876.8188741,4480,-1.0
1573537880.5946581,4483,-1.0
1573537892.9020917,4491,-1.0
1573537897.194188,4493,-1.0
1573537915.7383368,4506,-1.0
1573537924.3302705,4510,1.0
1573537925.0353026,4511,-1.0
1573537960.1292477,4530,-1.0
1573537960.5941718,4531,-1.0
1573537968.3375692,4534,-1.0
1573537980.988324,4541,-1.0
1573537985.7045965,4543,-1.0
1573538003.88416,4551,-1.0
1573538008.81502,4553,-1.0
1573538009.2061684,4554,-1.0
1573538035.8863592,4567,-1.0
1573538040.1281412,4569,-1.0
1573538040.2202203,4570,1.0
